Word	[(Document,Count)
Malay	(4, 1)  (10, 1) 
Persian	(4, 3)  (8, 3)  (9, 1) 
Sanskrit	(4, 3) 
Ch	(4, 2) 
na	(4, 3)  (5, 1)  (8, 1)  (9, 2) 
appears	(4, 1)  (10, 1) 
1555	(4, 1) 
translation	(4, 1) 
journal	(4, 1)  (6, 1) 
explorer	(4, 1)  (8, 1) 
Duarte	(4, 1) 
Barbosa	(4, 2) 
Hindu	(4, 1) 
scripture	(4, 1) 
Mah	(4, 1) 
bh	(4, 1) 
rata	(4, 1) 
Laws	(4, 1) 
Manu	(4, 1) 
2nd	(4, 3)  (7, 6)  (8, 1)  (9, 10) 
1655	(4, 1) 
Martino	(4, 1) 
Martini	(4, 1) 
suggested	(4, 2)  (5, 1)  (8, 1)  (10, 1) 
ultimately	(4, 1)  (6, 1)  (8, 1)  (10, 1) 
221	(4, 4) 
Indian	(4, 2)  (5, 1)  (8, 1) 
precedes	(4, 1) 
derivation	(4, 1)  (7, 1)  (8, 1) 
matter	(4, 2)  (10, 3) 
according	(4, 14)  (7, 6)  (8, 4)  (10, 2) 
Oxford	(4, 2)  (5, 1)  (7, 1) 
Dictionary	(4, 1) 
Alternative	(4, 1) 
suggestions	(4, 1) 
Yelang	(4, 1) 
Jing	(4, 1) 
Chu	(4, 1) 
simplified	(4, 2)  (7, 1)  (8, 1) 
pinyin	(4, 1) 
Zh	(4, 2) 
nghu	(4, 1) 
nm	(4, 1) 
ngh	(4, 1) 
gu	(4, 2) 
shorter	(4, 1)  (8, 1)  (10, 1) 
nggu	(4, 1) 
zh	(4, 1)  (8, 2) 
ng	(4, 1)  (9, 1) 
royal	(4, 1)  (6, 1)  (7, 4) 
demesne	(4, 1) 
Luoyi	(4, 1) 
Luoyang	(4, 1) 
occasional	(4, 1)  (10, 1) 
synonym	(4, 1) 
concept	(4, 2)  (7, 3)  (8, 7)  (10, 1) 
distinguish	(4, 1)  (5, 1)  (10, 1) 
Huaxia	(4, 1) 
barbarians	(4, 1) 
Zhongguo	(4, 1) 
translated	(4, 1)  (7, 2)  (8, 1) 
Mainland	(4, 2)  (7, 3) 
distinguishing	(4, 1) 
Prehistory	(4, 1)  (7, 1)  (8, 1) 
civilisations	(4, 1) 
Archaeological	(4, 1)  (7, 2) 
evidence	(4, 3)  (5, 2)  (7, 2)  (10, 5) 
suggests	(4, 1)  (7, 1)  (10, 2) 
hominids	(4, 1)  (7, 1) 
inhabited	(4, 1)  (7, 2)  (8, 1) 
ago	(4, 3)  (7, 3)  (8, 16)  (10, 1) 
hominid	(4, 1) 
fossils	(4, 1)  (7, 1) 
Peking	(4, 4) 
Homo	(4, 2)  (7, 1)  (8, 2) 
erectus	(4, 1)  (8, 1) 
fire	(4, 1)  (7, 1)  (9, 2)  (10, 1) 
cave	(4, 1)  (7, 1) 
Zhoukoudian	(4, 1) 
680	(4, 1)  (10, 1) 
fossilized	(4, 1) 
teeth	(4, 1) 
sapiens	(4, 1)  (8, 1) 
125	(4, 1) 
80	(4, 3)  (5, 3)  (7, 4)  (8, 1) 
Fuyan	(4, 1) 
Cave	(4, 1) 
Dao	(4, 1) 
County	(4, 1)  (7, 1) 
Hunan	(4, 2) 
proto	(4, 1) 
existed	(4, 1)  (7, 2)  (8, 1)  (10, 1) 
Jiahu	(4, 2) 
6600	(4, 1) 
Damaidi	(4, 1) 
6000	(4, 1) 
Dadiwan	(4, 1) 
5800	(4, 1) 
5400	(4, 1) 
Banpo	(4, 1) 
dating	(4, 1)  (8, 1) 
millennium	(4, 3)  (8, 3) 
scholars	(4, 4)  (7, 4)  (10, 3) 
constituted	(4, 1) 
dynastic	(4, 4)  (7, 3) 
tradition	(4, 2)  (7, 2)  (10, 2) 
2100	(4, 1) 
mythical	(4, 1) 
historians	(4, 1)  (6, 3)  (8, 1)  (10, 3) 
excavations	(4, 1) 
Bronze	(4, 1)  (8, 1) 
Erlitou	(4, 1) 
Henan	(4, 2) 
remains	(4, 7)  (6, 2)  (7, 2)  (8, 1)  (10, 1) 
unclear	(4, 1)  (7, 1) 
whether	(4, 3)  (5, 2)  (10, 3) 
succeeding	(4, 2) 
contemporary	(4, 4)  (7, 6)  (8, 1) 
oracle	(4, 1) 
bone	(4, 1)  (5, 1) 
script	(4, 7) 
c	(4, 1)  (7, 1)  (8, 3)  (10, 1) 
1500	(4, 1)  (8, 2)  (10, 3) 
characters	(4, 6) 
centralized	(4, 2)  (7, 1) 
authority	(4, 2)  (7, 4)  (8, 1)  (9, 1)  (10, 3) 
slowly	(4, 1)  (9, 1) 
eroded	(4, 1) 
feudal	(4, 1) 
warlords	(4, 2) 
principalities	(4, 1)  (8, 5) 
longer	(4, 1)  (7, 2) 
obeyed	(4, 1) 
king	(4, 1)  (7, 9)  (8, 1) 
continually	(4, 1) 
waged	(4, 1)  (10, 1) 
Spring	(4, 2) 
Autumn	(4, 1) 
Warring	(4, 2) 
Imperial	(4, 2)  (9, 1) 
kingdoms	(4, 1)  (7, 13)  (8, 2) 
reunited	(4, 2)  (7, 1)  (8, 2) 
autocracy	(4, 2) 
Zheng	(4, 2) 
Emperor	(4, 9)  (7, 1)  (8, 2) 
legalist	(4, 2) 
notably	(4, 6)  (7, 1)  (8, 3) 
standardization	(4, 1) 
widths	(4, 1) 
cart	(4, 1) 
axles	(4, 1) 
Yue	(4, 2) 
tribes	(4, 1)  (7, 2)  (8, 5) 
Guangxi	(4, 1) 
Guangdong	(4, 4) 
Vietnam	(4, 4)  (9, 1)  (10, 2) 
falling	(4, 1)  (8, 3) 
harsh	(4, 2)  (8, 1) 
authoritarian	(4, 3)  (6, 1) 
rebellion	(4, 2)  (7, 1)  (9, 1)  (10, 3) 
imperial	(4, 7)  (7, 2)  (8, 1)  (9, 1) 
library	(4, 1) 
Xianyang	(4, 1) 
burned	(4, 1) 
identity	(4, 1)  (5, 1)  (7, 8)  (8, 2) 
populace	(4, 1)  (10, 3) 
remembered	(4, 1) 
ethnonym	(4, 1) 
campaigns	(4, 2) 
Mongolia	(4, 3) 
Korea	(4, 12)  (5, 2)  (9, 1) 
Yunnan	(4, 3) 
Nanyue	(4, 1) 
involvement	(4, 1)  (5, 1)  (7, 1)  (10, 1) 
Sogdia	(4, 1) 
establish	(4, 5)  (7, 2) 
route	(4, 1)  (7, 2)  (8, 1) 
replacing	(4, 1)  (8, 1) 
path	(4, 1)  (5, 1)  (6, 1) 
Himalayas	(4, 3) 
gradually	(4, 3)  (7, 1)  (8, 4)  (9, 2) 
decentralization	(4, 1)  (7, 1) 
abandonment	(4, 1) 
philosophy	(4, 2)  (6, 1)  (7, 2)  (8, 5) 
Legalism	(4, 1) 
favor	(4, 5) 
successors	(4, 2) 
strife	(4, 1)  (10, 1) 
Three	(4, 4)  (5, 3)  (7, 1)  (10, 1) 
Kingdoms	(4, 2) 
immortalized	(4, 1) 
Classics	(4, 2) 
Wei	(4, 2) 
Jin	(4, 7) 
upon	(4, 1)  (5, 2)  (6, 2)  (7, 6)  (8, 1)  (10, 5) 
ascension	(4, 1) 
developmentally	(4, 1) 
disabled	(4, 1)  (10, 1) 
emperor	(4, 2)  (7, 2)  (8, 1) 
Five	(4, 3)  (8, 1) 
Barbarians	(4, 1) 
Sixteen	(4, 1) 
Xianbei	(4, 1) 
Xiaowen	(4, 1) 
apartheid	(4, 1) 
drastic	(4, 1) 
sinification	(4, 1) 
subjects	(4, 2) 
integrating	(4, 1) 
Liu	(4, 2) 
Yu	(4, 1) 
abdication	(4, 2) 
restored	(4, 1)  (7, 1)  (9, 1) 
reformed	(4, 3) 
constructed	(4, 2)  (8, 1) 
Grand	(4, 1)  (5, 2)  (8, 2) 
Canal	(4, 1)  (8, 3) 
patronized	(4, 1) 
entered	(4, 1)  (6, 1)  (7, 3)  (8, 2) 
retained	(4, 1)  (7, 1)  (8, 1) 
traders	(4, 1) 
Mesopotamia	(4, 1) 
Chang	(4, 4) 
cosmopolitan	(4, 1) 
devastated	(4, 1)  (7, 2)  (8, 2) 
Lushan	(4, 1) 
Rebellion	(4, 4)  (9, 1) 
8th	(4, 1)  (7, 1)  (8, 3)  (9, 2) 
disintegrated	(4, 1)  (7, 1) 
governors	(4, 1) 
ungovernable	(4, 1) 
separatist	(4, 1) 
situation	(4, 1)  (5, 1)  (7, 3) 
balance	(4, 1)  (7, 2)  (8, 2)  (10, 1) 
Khitan	(4, 1) 
Liao	(4, 1) 
issue	(4, 3)  (5, 1)  (7, 1) 
money	(4, 1)  (7, 1) 
polity	(4, 1)  (7, 1) 
shipbuilding	(4, 1) 
expansion	(4, 3)  (7, 7)  (8, 3) 
rice	(4, 3)  (7, 2) 
cultivation	(4, 1)  (7, 2)  (8, 1) 
revival	(4, 2)  (5, 1)  (8, 1) 
flourishing	(4, 2)  (7, 1) 
landscape	(4, 2)  (7, 1) 
porcelain	(4, 1) 
complexity	(4, 1) 
Jurchen	(4, 1) 
1127	(4, 1) 
Huizong	(4, 1) 
Bianjing	(4, 1) 
Wars	(4, 2)  (7, 3)  (8, 6)  (10, 2) 
remnants	(4, 1)  (7, 1) 
1205	(4, 1) 
gradual	(4, 1)  (7, 2) 
Genghis	(4, 1) 
Khan	(4, 2) 
1271	(4, 1) 
Kublai	(4, 1) 
remnant	(4, 1)  (6, 1) 
1300	(4, 1) 
peasant	(4, 2) 
Zhu	(4, 2) 
Yuanzhang	(4, 1) 
Hongwu	(4, 1) 
strongest	(4, 1)  (7, 2) 
navies	(4, 1) 
prosperous	(4, 2)  (6, 1) 
amid	(4, 2)  (5, 2) 
admiral	(4, 1) 
treasure	(4, 1) 
voyages	(4, 1) 
Nanjing	(4, 4) 
budding	(4, 1) 
capitalism	(4, 2)  (7, 1)  (10, 1) 
philosophers	(4, 1)  (7, 2)  (8, 1) 
Wang	(4, 1) 
Yangming	(4, 1) 
critiqued	(4, 1) 
concepts	(4, 2) 
individualism	(4, 1) 
equality	(4, 1)  (7, 1) 
stratum	(4, 1) 
force	(4, 3)  (7, 1)  (8, 2)  (9, 5)  (10, 6) 
commerce	(4, 4)  (7, 1) 
tax	(4, 1)  (5, 1)  (7, 1)  (8, 1) 
boycott	(4, 1) 
movements	(4, 3)  (7, 4)  (8, 2)  (10, 3) 
famines	(4, 1)  (8, 2) 
1592	(4, 1) 
1598	(4, 1)  (7, 1) 
exhausted	(4, 1) 
treasury	(4, 1) 
rebel	(4, 1)  (7, 3) 
Li	(4, 5) 
Zicheng	(4, 1) 
Chongzhen	(4, 1) 
suicide	(4, 1) 
Wu	(4, 2) 
Sangui	(4, 1) 
Shun	(4, 1) 
seized	(4, 1)  (7, 3) 
1618	(4, 1)  (8, 1)  (10, 1) 
1683	(4, 1)  (8, 1) 
cost	(4, 1)  (5, 2)  (7, 2)  (8, 1)  (10, 1) 
lives	(4, 2)  (7, 1)  (8, 1)  (10, 2) 
shrank	(4, 1) 
drastically	(4, 1)  (5, 1)  (10, 1) 
Dzungar	(4, 1) 
Khanate	(4, 1)  (8, 2) 
Tibet	(4, 4) 
Xinjiang	(4, 8) 
strengthened	(4, 2) 
suppress	(4, 1)  (10, 1) 
sentiment	(4, 1) 
valuing	(4, 1) 
restraining	(4, 1) 
Haijin	(4, 1) 
inquisition	(4, 1) 
technological	(4, 2)  (10, 2) 
stagnation	(4, 1) 
Fall	(4, 1)  (8, 1) 
Opium	(4, 1) 
Britain	(4, 1)  (7, 1)  (8, 9) 
compensation	(4, 1) 
open	(4, 3)  (7, 1) 
extraterritoriality	(4, 1) 
nationals	(4, 3) 
cede	(4, 1) 
1842	(4, 1) 
Nanking	(4, 1) 
Unequal	(4, 1) 
Treaties	(4, 1) 
1894	(4, 1) 
Korean	(4, 2)  (9, 3)  (10, 1) 
Peninsula	(4, 1)  (7, 20)  (8, 5) 
cession	(4, 1)  (9, 1) 
experiencing	(4, 1)  (7, 1) 
tens	(4, 1)  (7, 1) 
White	(4, 1)  (8, 1) 
Lotus	(4, 1) 
Taiping	(4, 1) 
ravaged	(4, 2)  (7, 1) 
1850s	(4, 1) 
1860s	(4, 2)  (8, 1) 
Dungan	(4, 1) 
Revolt	(4, 1)  (7, 3) 
1877	(4, 1) 
success	(4, 2)  (5, 7)  (7, 1)  (10, 4) 
Self	(4, 2)  (9, 3) 
Strengthening	(4, 2) 
frustrated	(4, 1) 
defeats	(4, 2)  (7, 1) 
1880s	(4, 1) 
1890s	(4, 1) 
diaspora	(4, 2) 
Losses	(4, 1) 
emigration	(4, 1)  (8, 4)  (10, 1) 
catastrophes	(4, 1) 
Famine	(4, 1)  (8, 2) 
1876	(4, 1) 
1879	(4, 1)  (7, 1) 
Guangxu	(4, 1) 
drafted	(4, 1) 
reform	(4, 7)  (7, 3)  (8, 1) 
1898	(4, 1)  (7, 1)  (9, 3) 
thwarted	(4, 1)  (6, 1) 
Empress	(4, 2) 
Dowager	(4, 2) 
Cixi	(4, 2) 
Boxer	(4, 1) 
1899	(4, 1)  (9, 2) 
1901	(4, 1)  (7, 1)  (9, 1) 
1911	(4, 1) 
Puyi	(4, 2) 
abdicated	(4, 1)  (7, 2) 
Establishment	(4, 1) 
Yat	(4, 2) 
sen	(4, 2) 
Nationalist	(4, 1)  (7, 2) 
provisional	(4, 1)  (7, 1) 
regent	(4, 1) 
Longyu	(4, 1) 
behalf	(4, 1)  (7, 1) 
Shikai	(4, 2) 
1915	(4, 1) 
condemnation	(4, 1)  (10, 1) 
Beiyang	(4, 1) 
abdicate	(4, 1) 
politically	(4, 1)  (7, 3)  (8, 3)  (10, 2) 
fragmented	(4, 1)  (8, 1) 
powerless	(4, 1) 
controlled	(4, 1)  (7, 2)  (8, 1) 
Chiang	(4, 3) 
Kai	(4, 1) 
shek	(4, 1) 
Principal	(4, 1) 
able	(4, 1)  (5, 1) 
reunify	(4, 1) 
deft	(4, 1) 
maneuverings	(4, 1) 
collectively	(4, 3) 
Expedition	(4, 1) 
tutelage	(4, 1) 
intermediate	(4, 1) 
outlined	(4, 1) 
min	(4, 1)  (5, 1) 
transforming	(4, 1)  (7, 1) 
battle	(4, 1)  (5, 2)  (7, 1)  (8, 1)  (10, 1) 
communist	(4, 3)  (8, 4) 
Liberation	(4, 4)  (7, 1)  (9, 1) 
PLA	(4, 7) 
warring	(4, 1) 
1927	(4, 1)  (7, 1) 
Civil	(4, 4)  (7, 2)  (8, 1)  (9, 1)  (10, 1) 
Long	(4, 2) 
1936	(4, 1)  (7, 5)  (8, 1)  (9, 1) 
Xi	(4, 10) 
Incident	(4, 1) 
confront	(4, 1) 
theater	(4, 1) 
uneasy	(4, 1)  (7, 1) 
Communists	(4, 3) 
atrocities	(4, 1)  (7, 1)  (10, 1) 
massacred	(4, 1) 
Soviet	(4, 8)  (7, 2)  (8, 20)  (10, 3) 
trusteeship	(4, 1) 
Allied	(4, 1)  (5, 1)  (9, 1) 
Big	(4, 1) 
Allies	(4, 1) 
primary	(4, 3)  (6, 1)  (7, 1)  (8, 2)  (10, 1) 
victors	(4, 1) 
Pescadores	(4, 1) 
handed	(4, 1)  (5, 1) 
validity	(4, 1)  (8, 1)  (10, 1) 
handover	(4, 1) 
transferred	(4, 1) 
complex	(4, 2)  (7, 2)  (8, 4)  (10, 1) 
issues	(4, 5)  (5, 3)  (7, 2) 
arose	(4, 2)  (7, 2)  (8, 1) 
handling	(4, 3)  (7, 1)  (9, 1) 
unresolved	(4, 1) 
flashpoint	(4, 1) 
financially	(4, 1)  (10, 1) 
drained	(4, 1)  (7, 1) 
distrust	(4, 1) 
resumption	(4, 1) 
ongoing	(4, 2)  (5, 1)  (7, 1)  (8, 1)  (9, 1) 
Jiangxi	(4, 3) 
1931	(4, 1)  (7, 6) 
Ruijin	(4, 1) 
wiped	(4, 1) 
armies	(4, 1)  (7, 4)  (10, 1) 
1934	(4, 1)  (5, 1)  (7, 1) 
Yan	(4, 2) 
Shaanxi	(4, 1) 
concluded	(4, 1)  (8, 1) 
1935	(4, 1)  (8, 1)  (9, 9) 
communists	(4, 1) 
Afterwards	(4, 1) 
gain	(4, 1)  (7, 2)  (8, 1) 
retreating	(4, 1) 
offshore	(4, 3) 
reducing	(4, 2) 
Hainan	(4, 5) 
islands	(4, 3)  (7, 9)  (8, 2)  (9, 1) 
Chairman	(4, 1) 
Mao	(4, 6)  (10, 1) 
Zedong	(4, 1)  (10, 1) 
ceremony	(4, 1)  (5, 1)  (6, 1) 
inaugural	(4, 2)  (5, 6) 
parade	(4, 1) 
Tiananmen	(4, 3) 
Square	(4, 3) 
remaining	(4, 1)  (5, 2)  (6, 1)  (7, 2)  (8, 2) 
insurgency	(4, 1)  (9, 1)  (10, 1) 
consolidated	(4, 1)  (7, 1)  (8, 1) 
peasants	(4, 3) 
execution	(4, 1) 
landlords	(4, 1) 
550	(4, 2)  (8, 1)  (9, 1) 
900	(4, 3) 
idealistic	(4, 1) 
starvation	(4, 1) 
allies	(4, 1)  (8, 1)  (9, 1) 
sparking	(4, 1)  (5, 1) 
recrimination	(4, 1) 
problem	(4, 1)  (7, 1)  (10, 1) 
Two	(4, 1)  (5, 1)  (7, 2)  (8, 2) 
Chinas	(4, 1) 
Strait	(4, 2)  (7, 4)  (8, 2) 
Reforms	(4, 1)  (7, 1)  (8, 1) 
Gang	(4, 1) 
Hua	(4, 1) 
Guofeng	(4, 1) 
excesses	(4, 1) 
Elder	(4, 1) 
Deng	(4, 3) 
Xiaoping	(4, 3) 
instituted	(4, 1)  (7, 1)  (8, 1) 
loosened	(4, 1) 
personal	(4, 4)  (5, 9)  (7, 1) 
disbanded	(4, 1)  (9, 1) 
contracted	(4, 1) 
planned	(4, 3)  (5, 1) 
mixed	(4, 2)  (7, 1)  (8, 6)  (10, 2) 
environment	(4, 3)  (10, 1) 
condemnations	(4, 1) 
sanctions	(4, 1)  (8, 1) 
Jiang	(4, 1) 
Zemin	(4, 1) 
Peng	(4, 1) 
Rongji	(4, 1) 
pulled	(4, 2)  (5, 1) 
gross	(4, 1)  (7, 2) 
1997	(4, 1)  (5, 1) 
special	(4, 4)  (7, 3)  (8, 2)  (9, 4) 
administrative	(4, 3)  (7, 6)  (9, 1) 
maintained	(4, 1)  (7, 4)  (9, 1) 
Hu	(4, 2) 
Jintao	(4, 1) 
Wen	(4, 1) 
Jiabao	(4, 1) 
2000s	(4, 3)  (7, 2)  (9, 1) 
impacted	(4, 1)  (8, 1) 
displacement	(4, 1)  (10, 1) 
secretary	(4, 7) 
Jinping	(4, 7) 
pursued	(4, 2)  (7, 2)  (8, 1) 
structural	(4, 1) 
instabilities	(4, 1) 
slowing	(4, 1) 
penal	(4, 2) 
instituting	(4, 2) 
vast	(4, 4)  (7, 7)  (8, 5)  (10, 1) 
crackdown	(4, 2) 
Belt	(4, 6)  (8, 1) 
Initiative	(4, 5)  (8, 1) 
Uyghurs	(4, 3) 
internment	(4, 1) 
camps	(4, 4)  (7, 2)  (9, 4) 
Standing	(4, 3) 
Committee	(4, 4)  (9, 1) 
NPCSC	(4, 1) 
tools	(4, 1) 
crack	(4, 1) 
dissent	(4, 1) 
Wuhan	(4, 3) 
identified	(4, 4)  (6, 1)  (7, 3)  (8, 1)  (10, 1) 
outbreak	(4, 3)  (9, 1) 
strategy	(4, 1) 
pursue	(4, 1) 
approach	(4, 1)  (5, 1)  (10, 1) 
broaden	(4, 1) 
job	(4, 2)  (6, 1) 
retail	(4, 3) 
Gobi	(4, 3) 
Taklamakan	(4, 2) 
Deserts	(4, 1) 
wetter	(4, 1)  (8, 1) 
Himalaya	(4, 1) 
Karakoram	(4, 1) 
Pamir	(4, 1) 
Tian	(4, 1) 
Shan	(4, 1) 
mountain	(4, 3)  (7, 5)  (8, 4)  (10, 1) 
separate	(4, 2)  (7, 2)  (8, 2)  (9, 2) 
Yangtze	(4, 3) 
Rivers	(4, 1)  (8, 1) 
longest	(4, 8)  (7, 2) 
Tibetan	(4, 7)  (8, 1) 
Plateau	(4, 2)  (7, 1) 
seaboard	(4, 1)  (8, 1) 
coastline	(4, 2)  (7, 2) 
Pacific	(4, 2)  (7, 2)  (8, 1)  (9, 2) 
bounded	(4, 1)  (8, 2)  (10, 1) 
Bohai	(4, 1) 
Kazakh	(4, 3)  (8, 2) 
Eurasian	(4, 1)  (7, 1)  (8, 4) 
Steppe	(4, 2) 
communication	(4, 2)  (5, 1) 
Route	(4, 1) 
terrestrial	(4, 1) 
lies	(4, 2)  (7, 2)  (8, 4) 
latitudes	(4, 2)  (7, 1)  (8, 2) 
54	(4, 2)  (8, 2)  (10, 1) 
longitudes	(4, 1)  (7, 1) 
73	(4, 1)  (5, 1) 
135	(4, 1) 
E	(4, 2)  (7, 1)  (8, 1)  (10, 1) 
geographical	(4, 2)  (7, 7)  (8, 4) 
Country	(4, 2)  (7, 12) 
Monument	(4, 1) 
103	(4, 1) 
landscapes	(4, 2)  (7, 1)  (8, 1) 
vary	(4, 1)  (8, 1) 
shores	(4, 1) 
alluvial	(4, 1) 
edges	(4, 1) 
Inner	(4, 2)  (7, 2) 
Mongolian	(4, 5) 
plateau	(4, 1)  (7, 1) 
broad	(4, 1)  (8, 4)  (10, 1) 
grasslands	(4, 1) 
predominate	(4, 3)  (8, 1) 
hills	(4, 1) 
deltas	(4, 1) 
Mekong	(4, 1) 
Brahmaputra	(4, 1) 
Amur	(4, 1) 
sit	(4, 1) 
plateaus	(4, 1)  (7, 1)  (8, 1) 
Mount	(4, 1)  (7, 1) 
Everest	(4, 1) 
848	(4, 1) 
Nepalese	(4, 1) 
dried	(4, 1) 
lake	(4, 1) 
bed	(4, 1) 
Ayding	(4, 1) 
Lake	(4, 1) 
154	(4, 1)  (5, 1) 
Turpan	(4, 1) 
wet	(4, 1) 
monsoons	(4, 1) 
pronounced	(4, 1) 
temperature	(4, 2)  (7, 1)  (8, 1) 
differences	(4, 2)  (7, 1)  (8, 3)  (10, 2) 
moist	(4, 2) 
environmental	(4, 6)  (7, 1) 
deserts	(4, 1) 
barrier	(4, 1)  (5, 2)  (7, 1) 
planted	(4, 1)  (7, 1)  (8, 3) 
frequency	(4, 1)  (5, 1) 
sandstorms	(4, 1) 
drought	(4, 1)  (7, 1) 
practices	(4, 3)  (8, 1) 
dust	(4, 1) 
storms	(4, 1) 
plaguing	(4, 1) 
spring	(4, 1)  (7, 1) 
watchdog	(4, 1) 
SEPA	(4, 1) 
stated	(4, 3)  (5, 2)  (8, 1)  (10, 1) 
desertification	(4, 1) 
Water	(4, 6) 
pollution	(4, 11) 
Melting	(4, 1) 
glaciers	(4, 1) 
potentially	(4, 2)  (5, 1) 
shortages	(4, 1) 
hundreds	(4, 3)  (7, 1)  (8, 1) 
limit	(4, 4)  (10, 1) 
carbon	(4, 2) 
capture	(4, 1)  (7, 1)  (8, 1) 
phased	(4, 1) 
2045	(4, 1) 
productivity	(4, 2) 
unreliable	(4, 1) 
exaggeration	(4, 1) 
subsidiary	(4, 1) 
Much	(4, 2) 
suitable	(4, 1) 
tomatoes	(4, 1)  (7, 1) 
eggplant	(4, 1) 
grapes	(4, 1)  (7, 1) 
watermelon	(4, 1) 
spinach	(4, 1) 
crops	(4, 1)  (7, 3)  (8, 1) 
megadiverse	(4, 1) 
lying	(4, 1)  (7, 1) 
biogeographic	(4, 1) 
realms	(4, 1) 
Palearctic	(4, 1) 
Indomalayan	(4, 1) 
measure	(4, 1)  (7, 1) 
34	(4, 1)  (5, 1) 
687	(4, 1) 
Rio	(4, 1) 
Janeiro	(4, 1) 
Convention	(4, 1)  (8, 2)  (9, 1) 
Biological	(4, 1)  (10, 1) 
Diversity	(4, 1) 
1992	(4, 1)  (5, 1)  (6, 1)  (7, 1)  (9, 1) 
convention	(4, 2)  (8, 6) 
1993	(4, 1)  (8, 2) 
Strategy	(4, 1) 
Action	(4, 3)  (10, 1) 
Plan	(4, 1)  (7, 1)  (8, 1) 
revision	(4, 1)  (8, 1) 
551	(4, 1) 
mammals	(4, 1)  (8, 1) 
birds	(4, 1)  (8, 3) 
424	(4, 1) 
reptiles	(4, 1)  (8, 1) 
333	(4, 1) 
amphibians	(4, 1)  (8, 1) 
Wildlife	(4, 1) 
habitat	(4, 2)  (8, 2) 
bears	(4, 1)  (8, 3) 
acute	(4, 1) 
humans	(4, 2)  (7, 2)  (8, 2)  (10, 1) 
840	(4, 1) 
animal	(4, 3)  (8, 2)  (10, 2) 
threatened	(4, 1) 
danger	(4, 1)  (10, 1) 
extinction	(4, 1)  (8, 2) 
activity	(4, 1)  (7, 1)  (10, 1) 
destruction	(4, 1)  (8, 1)  (10, 6) 
poaching	(4, 1) 
fur	(4, 1) 
ingredients	(4, 2) 
medicine	(4, 3)  (8, 1) 
Endangered	(4, 1) 
wildlife	(4, 1) 
protected	(4, 1)  (7, 1)  (8, 1) 
349	(4, 1) 
reserves	(4, 3)  (9, 3) 
covering	(4, 2)  (7, 1) 
149	(4, 1)  (10, 1) 
95	(4, 6)  (7, 1)  (8, 1)  (9, 1)  (10, 1) 
percent	(4, 10)  (7, 2)  (8, 2)  (10, 3) 
wild	(4, 1)  (8, 1) 
core	(4, 1) 
fared	(4, 1) 
mountainous	(4, 1)  (7, 4)  (8, 5) 
Baiji	(4, 1) 
extinct	(4, 1)  (7, 1)  (8, 1) 
forest	(4, 1)  (8, 12) 
Cold	(4, 1)  (7, 1)  (8, 7)  (10, 2) 
coniferous	(4, 1)  (8, 1) 
moose	(4, 1) 
bear	(4, 1)  (8, 3) 
understory	(4, 1) 
conifer	(4, 1) 
contain	(4, 2)  (8, 1) 
thickets	(4, 1) 
bamboo	(4, 2) 
montane	(4, 1) 
juniper	(4, 1) 
yew	(4, 1) 
rhododendrons	(4, 1) 
Subtropical	(4, 1) 
rare	(4, 1) 
endemics	(4, 1) 
Tropical	(4, 1) 
seasonal	(4, 1)  (7, 1)  (8, 1) 
rainforests	(4, 1)  (8, 1) 
confined	(4, 1) 
Island	(4, 1)  (7, 3)  (9, 1) 
fungi	(4, 2)  (10, 1) 
Environment	(4, 1) 
While	(4, 4)  (5, 6)  (6, 2)  (7, 3)  (8, 2)  (10, 3) 
regulations	(4, 1)  (10, 1) 
Environmental	(4, 1) 
Protection	(4, 1)  (8, 1) 
Law	(4, 1)  (6, 1)  (7, 5) 
fairly	(4, 1)  (7, 1) 
stringent	(4, 1) 
poorly	(4, 1)  (5, 1) 
frequently	(4, 1)  (8, 2) 
disregarded	(4, 1) 
toll	(4, 1)  (7, 1)  (10, 3) 
exposure	(4, 1) 
ambient	(4, 1) 
CO2	(4, 2) 
emitting	(4, 1) 
emits	(4, 1) 
clamped	(4, 1) 
Secretary	(4, 2)  (9, 3) 
parliament	(4, 1)  (7, 4)  (8, 2) 
approved	(4, 3)  (6, 1)  (7, 2)  (9, 1) 
empowers	(4, 1) 
enforcement	(4, 1)  (5, 1)  (9, 2) 
punitive	(4, 1) 
fines	(4, 1) 
offenders	(4, 1) 
defines	(4, 1)  (10, 1) 
require	(4, 1)  (8, 1) 
protection	(4, 3)  (7, 2)  (8, 1) 
operate	(4, 1)  (10, 1) 
aims	(4, 1)  (7, 2)  (10, 14) 
peak	(4, 1)  (7, 3)  (8, 1) 
emissions	(4, 3) 
2030	(4, 3) 
2060	(4, 2) 
accordance	(4, 1)  (7, 2) 
accord	(4, 1) 
Tracker	(4, 2) 
if	(4, 2)  (5, 1)  (6, 1)  (7, 4)  (10, 7) 
degrees	(4, 1)  (7, 3)  (8, 1)  (10, 1) 
pivotal	(4, 1)  (6, 1)  (7, 1)  (8, 1) 
financing	(4, 1) 
polluted	(4, 1) 
waste	(4, 1) 
53rd	(4, 1)  (9, 1) 
sweeping	(4, 1)  (8, 1) 
protect	(4, 1)  (7, 1)  (10, 2) 
strengthening	(4, 1)  (7, 1) 
rules	(4, 1)  (10, 2) 
banning	(4, 1) 
chemical	(4, 1)  (10, 2) 
